accx,accy,accz,label
80,272,16752,0
64,16,16512,0
112,304,16512,0
-80,304,16752,0
-128,288,16560,0
112,336,16752,0
112,0,16720,0
112,288,16736,0
96,304,16528,0
-112,0,16528,0
-128,288,16272,0
48,0,16736,0
-128,272,16752,0
48,0,16560,0
112,304,16560,0
-96,16,16624,0
80,272,16512,0
64,288,16560,0
64,-16,16512,0
80,0,16544,0
112,288,16512,0
-96,288,16752,0
96,320,16752,0
96,288,16752,0
-128,288,16976,0
80,272,16720,0
80,288,16736,0
80,336,16528,0
80,-32,16736,0
96,304,16688,0
64,320,16544,0
96,272,16528,0
64,272,16544,0
112,0,16704,0
96,320,16560,0
112,336,16544,0
-128,272,16544,0
96,288,16688,0
16,304,16576,0
80,272,16736,0
-112,320,16752,0
96,0,16512,0
112,-16,16528,0
-128,16,16736,0
-128,320,16528,0
112,288,16752,0
80,272,16512,0
80,368,16528,0
112,272,16528,0
-128,288,16736,0
-128,272,16528,0
64,288,16512,0
112,320,16720,0
96,304,16752,0
-128,288,16592,0
96,272,16752,0
96,304,16528,0
96,288,16592,0
-128,304,16592,0
-128,0,16560,0
32,0,16720,0
-128,0,16720,0
96,304,16736,0
80,304,16528,0
96,272,16576,0
-128,304,16736,0
80,288,16512,0
112,288,16752,0
-128,288,16528,0
80,320,16544,0
80,272,16544,0
112,-64,16736,0
80,272,16512,0
112,304,16704,0
112,304,16704,0
-128,272,16512,0
80,272,16544,0
80,304,16512,0
-128,-16,16624,0
48,-16,16512,0
96,368,16544,0
80,304,16512,0
96,272,16704,0
112,272,16544,0
-128,288,16752,0
64,272,16592,0
112,288,16752,0
48,288,16688,0
48,0,16704,0
112,-16,16688,0
112,272,16512,0
96,320,16528,0
112,352,16928,0
-128,272,16752,0
64,288,16752,0
96,-32,16528,0
32,304,16544,0
48,336,16528,0
-128,320,16512,0
64,288,16736,0
-128,0,16704,0
-112,272,16544,0
80,-32,16912,0
96,288,16720,0
96,320,16512,0
112,288,16720,0
96,288,16512,0
-112,272,16512,0
96,288,16544,0
80,-32,16736,0
-128,0,16752,0
-128,272,16752,0
16,304,16704,0
96,288,16704,0
-128,288,16752,0
64,304,16592,0
64,304,16528,0
96,288,16704,0
-128,288,16720,0
48,272,16720,0
80,288,16544,0
-112,304,16592,0
112,288,16704,0
112,0,16544,0
64,304,16512,0
64,320,16736,0
80,288,16528,0
96,272,16688,0
112,-16,16512,0
