accx,accy,accz,label
112,320,16544,1
112,336,16752,1
-112,144,16752,1
32,320,16720,1
-128,-32,16736,1
80,304,16688,1
64,288,16544,1
48,304,16528,1
112,368,16480,1
96,320,16688,1
64,304,16752,1
64,352,16528,1
96,336,16752,1
112,304,16576,1
64,0,16512,1
32,320,16528,1
-112,320,16656,1
-112,176,16736,1
336,-64,16512,1
80,80,17616,1
-512,400,18240,1
-64,352,17840,1
464,400,17680,1
272,464,17136,1
112,400,17280,1
-176,384,16032,1
-560,592,14704,1
-640,1024,12976,1
-1104,1344,14256,1
-592,1232,16592,1
-1328,976,16320,1
-1024,1264,16256,1
-480,944,16336,1
-1296,1392,17408,1
-464,864,18080,1
-304,-32,20544,1
-224,480,18720,1
-96,624,17312,1
-304,624,15600,1
-1376,544,15664,1
-2016,160,14256,1
-1104,-48,13504,1
-1280,592,14976,1
-1632,592,16112,1
-1904,336,16432,1
-2256,272,16368,1
-1392,160,16384,1
-1152,608,17072,1
-496,560,18640,1
240,-400,20592,1
80,-80,19088,1
496,592,17328,1
192,480,17424,1
-160,848,16448,1
-240,288,14976,1
-2096,96,14688,1
-1328,-288,13568,1
-1632,384,14352,1
-1520,400,15712,1
-1376,336,16544,1
-928,592,16496,1
-1328,832,17472,1
-576,576,16832,1
-512,848,18688,1
-352,464,19936,1
-576,1008,17984,1
-1344,992,17520,1
-912,496,17200,1
-1328,512,15376,1
-2032,288,14848,1
-1712,32,12752,1
-1568,304,13456,1
-1184,448,14832,1
-880,336,16480,1
-544,-352,16960,1
48,880,16624,1
-256,832,18944,1
-144,-96,20128,1
-640,-16,20288,1
-624,528,17168,1
80,176,16432,1
272,304,16224,1
-448,304,16192,1
-1664,368,14704,1
-1024,-64,13264,1
-1280,0,14512,1
-1328,320,15664,1
-432,576,15664,1
-368,-320,16608,1
-176,-128,17120,1
-176,336,19408,1
-112,96,20208,1
-192,864,18784,1
64,1024,17024,1
-288,976,16976,1
-336,400,16128,1
-960,496,15712,1
-1808,576,15104,1
-1024,-304,13840,1
-1312,-16,15136,1
-1904,176,16352,1
-2144,496,16288,1
-1520,864,15648,1
-672,512,16016,1
-1056,720,18464,1
-96,880,19232,1
-352,528,20016,1
-496,1392,18544,1
-1808,1280,18576,1
-1216,832,18352,1
-896,144,18192,1
-1120,112,14480,1
-2000,-480,14048,1
-928,-224,12880,1
-1728,528,14288,1
-2176,480,16608,1
-1056,464,16624,1
-256,624,16544,1
-1088,560,16960,1
-448,416,17600,1
-144,560,20032,1
-208,464,18928,1
432,1312,15344,1
688,832,16816,1
-208,160,16912,1
-1824,0,15968,1
-1728,-176,14032,1
-1488,-160,13904,1
-1200,0,14656,1
-1200,384,15472,1
-1408,592,16016,1
-1392,-112,17696,1
-1232,352,16176,1
-688,208,16512,1
-192,688,18560,1
-384,512,20032,1
-1088,1152,19088,1
-16,976,16864,1
432,400,16640,1
-864,0,15504,1
-1296,32,13440,1
-656,-416,13152,1
-848,-368,13632,1
-1360,384,14976,1
-1152,1088,15696,1
-432,800,16528,1
-384,176,17200,1
176,272,17936,1
784,-256,19968,1
624,512,19648,1
-656,1248,19680,1
-496,160,19856,1
32,-16,16992,1
144,-720,14896,1
-656,-1040,13760,1
-560,-544,12528,1
-800,400,15040,1
-1360,448,16928,1
96,544,15328,1
-1296,336,15552,1
592,368,17648,1
576,240,18192,1
224,-16,19424,1
-288,528,19776,1
208,1040,17088,1
1376,864,16432,1
448,-80,15600,1
-640,-848,13936,1
-720,-624,12880,1
-1088,-144,11952,1
-1120,96,13488,1
-1552,1360,14848,1
-256,176,17728,1
800,-432,17264,1
-528,224,15744,1
-416,1456,17808,1
-240,768,20320,1
-336,1328,19344,1
-288,896,18816,1
-240,384,18000,1
240,-48,15232,1
-256,-384,12928,1
-944,-448,12880,1
-496,-496,12704,1
-800,-288,14672,1
-1264,800,16640,1
-160,192,16512,1
-576,-48,17920,1
-608,320,18912,1
272,848,19552,1
176,1120,20128,1
-352,1328,18096,1
-432,800,18512,1
-2176,752,18528,1
-912,-32,15296,1
-912,-384,13440,1
-576,-400,14080,1
-1216,368,13904,1
-1136,320,14896,1
-960,48,15664,1
-736,176,16480,1
-1648,64,18112,1
-208,208,18176,1
320,-32,20144,1
32,832,20000,1
-688,1568,19136,1
256,448,18816,1
832,320,16368,1
-192,160,13856,1
-1408,304,14928,1
-320,-480,14016,1
-1136,32,13952,1
-592,-64,15392,1
-1616,640,15488,1
-384,944,16960,1
-800,1152,18240,1
-48,784,16832,1
288,1104,18416,1
624,688,20656,1
-16,1168,18800,1
-304,688,18960,1
-1888,720,18000,1
-272,-16,15712,1
-736,-400,13184,1
-48,-1056,12704,1
-224,16,13552,1
-1440,416,15312,1
-1312,368,16832,1
-176,-32,16208,1
-224,1040,17008,1
96,480,17504,1
0,736,18496,1
96,832,20656,1
-448,944,19056,1
-768,656,18240,1
-1648,1056,17152,1
-960,176,15792,1
-432,-784,16048,1
-400,-384,13872,1
-480,-448,13024,1
-256,64,15216,1
-432,128,15968,1
-336,64,16448,1
-480,-48,16064,1
-688,-288,17328,1
-80,416,19792,1
448,416,20608,1
-560,1136,19152,1
-1040,496,19632,1
-448,784,16976,1
-592,-304,15504,1
-432,-624,14112,1
-464,-432,13184,1
-976,-64,14336,1
-1440,304,15232,1
-496,-192,16704,1
-1232,288,15456,1
-1648,528,18432,1
-544,496,18112,1
112,656,18640,1
-528,1040,21312,1
-336,688,18096,1
-432,624,17856,1
-832,272,17744,1
-976,-240,16544,1
-1008,-448,14752,1
-1584,-672,13632,1
-1216,-1104,12976,1
-1632,-784,14048,1
-256,-240,16352,1
-816,-128,18368,1
-352,-336,17104,1
-256,-160,16272,1
64,-224,20096,1
848,-1120,20976,1
1104,176,18176,1
1184,48,18896,1
-336,1328,16832,1
16,1184,15120,1
-1888,-48,14720,1
-1728,-480,11744,1
-1872,-352,13312,1
-768,-96,14624,1
-592,352,15648,1
112,176,16816,1
-512,1088,18080,1
656,336,17360,1
432,160,17680,1
992,832,20048,1
1616,624,22288,1
1024,480,20240,1
960,0,18432,1
352,544,17232,1
96,160,16400,1
-1312,-32,14272,1
-2336,768,13792,1
-1120,544,12960,1
-1856,208,12784,1
-816,256,14576,1
-1264,768,16624,1
-976,752,17120,1
-640,208,17712,1
432,-432,17232,1
896,-592,19728,1
928,-240,22496,1
-112,-80,20352,1
112,-48,18432,1
-128,-320,15856,1
-880,-96,14016,1
-944,256,12768,1
-992,432,12720,1
-448,-96,12704,1
-752,-32,12992,1
-464,432,14800,1
-16,208,17024,1
1808,544,19296,1
1264,304,18544,1
1696,-176,18112,1
2960,-592,19840,1
2896,-192,20240,1
688,256,20336,1
-16,-48,18304,1
352,-288,15952,1
-816,-80,14960,1
-928,592,15008,1
-288,368,13376,1
-128,192,13600,1
368,544,14368,1
992,608,15824,1
1200,704,17728,1
960,704,17616,1
1648,1232,18928,1
1184,1424,20240,1
2176,1216,19136,1
1856,1296,17728,1
672,1072,16976,1
288,800,16960,1
-208,736,17360,1
-480,1136,15568,1
-528,496,15360,1
-352,336,12832,1
-464,288,11216,1
-384,0,13968,1
1024,64,18112,1
1952,-64,17440,1
1840,192,17616,1
1312,624,16976,1
1168,480,18896,1
2192,320,21056,1
1760,480,20560,1
592,848,17728,1
-272,176,16304,1
-160,384,16720,1
-768,592,16512,1
-1104,208,14816,1
-880,144,12912,1
-656,592,12016,1
-128,160,13760,1
880,432,16912,1
624,1376,18768,1
256,1536,18512,1
976,1648,18576,1
1504,928,19008,1
2144,624,20192,1
1120,704,19360,1
576,400,17568,1
288,352,16464,1
-336,336,15664,1
-1088,144,15056,1
-1040,48,14912,1
-144,-128,14224,1
-384,-128,12304,1
240,48,12208,1
880,736,15904,1
-80,1424,17984,1
848,1520,19136,1
1088,912,19424,1
1776,288,19168,1
-96,336,20800,1
-800,16,19216,1
-400,-368,18016,1
